[2021-07-30T16:00:52.510] [INFO] info - ***数据库连接成功***
[2021-07-30T16:01:00.208] [INFO] info - get params:{"pageNum":"1","pageSize":"10","total":"1","state":"0"}
[2021-07-30T16:01:00.209] [INFO] info - post params:{}
[2021-07-30T16:01:17.187] [INFO] info - get params:{"pageNum":"1","pageSize":"10","total":"1","state":"0"}
[2021-07-30T16:01:17.188] [INFO] info - post params:{}
[2021-07-30T16:01:18.683] [INFO] info - get params:{"pageNum":"1","pageSize":"10","total":"1","state":"0"}
[2021-07-30T16:01:18.684] [INFO] info - post params:{}
[2021-07-30T16:01:21.711] [INFO] info - get params:{"pageNum":"1","pageSize":"10","state":"0"}
[2021-07-30T16:01:21.712] [INFO] info - post params:{}
[2021-07-30T16:01:48.500] [INFO] info - ***数据库连接成功***
[2021-07-30T16:01:59.580] [INFO] info - get params:{"pageNum":"1","pageSize":"10","total":"1","state":"0"}
[2021-07-30T16:01:59.582] [INFO] info - post params:{}
[2021-07-30T16:02:01.243] [INFO] info - get params:{"pageNum":"1","pageSize":"10","total":"1","state":"0"}
[2021-07-30T16:02:01.244] [INFO] info - post params:{}
[2021-07-30T16:02:13.667] [INFO] info - get params:{"pageNum":"1","pageSize":"10","state":"0"}
[2021-07-30T16:02:13.668] [INFO] info - post params:{}
[2021-07-30T16:02:15.886] [INFO] info - get params:{}
[2021-07-30T16:02:15.887] [INFO] info - post params:{"userIds":[1000002]}
[2021-07-30T16:03:44.378] [INFO] info - ***数据库连接成功***
[2021-07-30T16:04:02.780] [INFO] info - get params:{}
[2021-07-30T16:04:02.781] [INFO] info - post params:{"userIds":[1000002]}
[2021-07-30T16:05:43.379] [INFO] info - get params:{}
[2021-07-30T16:05:43.379] [INFO] info - post params:{"userIds":[1000002]}
[2021-07-30T16:05:43.766] [INFO] info - get params:{}
[2021-07-30T16:05:43.766] [INFO] info - post params:{"userIds":[1000002]}
[2021-07-30T16:05:44.752] [INFO] info - get params:{}
[2021-07-30T16:05:44.752] [INFO] info - post params:{"userIds":[1000002]}
[2021-07-30T16:05:54.127] [INFO] info - get params:{"pageNum":"1","pageSize":"10","total":"1","state":"0"}
[2021-07-30T16:05:54.128] [INFO] info - post params:{}
